#CODE;ENGLISH;FENCH;GERMAN;;SPANISH;ITALIAN;X

# Estehildi (Healer Guild, priesthood of Este)

healers;Estehildi;;;;;;X
healers_desc;The Estehildi, the folk of Estë, are a society of professional elven healers pledged to sharing and expanding their knowledge in order to best do the work of their mistress on Middle-Earth in her stead.  While many are powerful enchanters, most begin as simple herbalists and scholars.  As a member of the Estehildi you will seek to cure the ails of those near you and expand your own wisdom through the teachings of Estë.;Les Hermétistes croient qu'il y a des secrets profondément enfouis à propos de ce monde qui méritent d'être découverts. En tant que membre des Hermétistes, vous chercherez la vérité dans les étoiles et les planètes, à travers l'expérimentation et l'interprétation minutieuse de textes et symboles anciens.;Hermetiker glauben, es gäbe tief verborgene Geheimnisse über diese Welt, die nur jemand entschleiern könne, der dieser Geheimnisse würdig sei. Als Mitglied der Hermetiker werdet Ihr durch unermüdliches Experimentieren und gewissenhafte Deutung antiker Texte und Symbole in den Sternen und Planeten nach der Wahrheit suchen.;;Los seguidores del hermetismo creen que existen secretos ocultos sobre este mundo que solo los dignos pueden descubrir. Como miembro de los herméticos, buscarás la verdad en las estrellas y en los planetas mediante una experimentación afanosa y una cuidada interpretación de los textos y símbolos antiguos.;;;;;;;;;x
currency_name_healers;Wisdom;;;;;;X
healers_write_theory_paper;Write Tome of Healing;;;;;;X
healers_write_theory_paper_desc;Compile the wisdom and discoveries of your healing career in a tome of knowledge.  This book will be copied and distributed to other members within the Estehildi.;;;;;;X
choose_healer_art;Choose Healing Art;;;;;;X
choose_healer_art_desc;Choose your specialization within the broad practices of healing.  Doing so will allow you to choose a lifestyle trait, and will cement your reputation within the §Y[Root.Society.GetName]§!.;;;;;;X
healers_rank_1_female;Esthildo;Néophyte;Neophyt;;neófita;;;;;;;;;x
healers_rank_2_female;Atheldan;Initiée;Novizin;;iniciada;;;;;;;;;x
healers_rank_3_female;Aseadan;Adepte;Adeptin;;adepta;;;;;;;;;x
healers_rank_4_female;Nisti;Mage;Magus;;sabia;;;;;;;;;x
healers_rank_1_male;Esthildo;Néophyte;Neophyt;;neófito;;;;;;;;;x
healers_rank_2_male;Atheldan;Initié;Novize;;iniciado;;;;;;;;;x
healers_rank_3_male;Aseadan;Adepte;Adept;;adepto;;;;;;;;;x
healers_rank_4_male;Nisti;Mage;Magus;;sabio;;;;;;;;;x
healers_leader_desc;The Arîdhil, the High Priest of Estë, is the highmost authority in Beleriand on the art of healing and the lore of the Pale Lady.;;;;;;;;;x
